, , , , , ,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Sözle?me ve Sertifika Say?s?,Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL),Yat?r?ma Yönlenen Tutar (TL)
Emeklilik ?irketi,Kat?l?mc? Say?s?,Kat?l?mc?lar?n Fon Tutar? (TL),Devlet Katk?s? Fon Tutar? (TL),Katk? Pay? Tutar? (TL),Emekli Olan Kat?l?mc? Say?s?,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam,Bireysel Emeklilik Sözle?meleri,Gruba Ba?l? Bireysel Emeklilik Sözle?meleri,??veren Grup Emeklilik Sertifikalar?,Toplam
Aegon Emeklilik ve Hayat,"198,810","619,329,664","62,787,920","480,758,682","2,796","155,213","67,283","4,261","226,757","370,499,251","90,734,573","8,524,611","469,758,435"
Allianz Hayat ve Emeklilik,"524,375","12,083,984,844","1,285,309,860","8,734,452,410","16,905","505,650","80,592","21,747","607,989","7,127,530,388","1,279,757,965","244,187,735","8,651,476,088"
Allianz Ya?am ve Emeklilik,"3,817,446","51,548,624,287","4,692,282,343","37,429,183,283","48,908","3,135,248","641,068","806,863","4,583,179","25,777,905,131","7,742,322,055","3,348,040,513","36,868,267,698"
Anadolu Hayat Emeklilik,"5,688,170","68,047,189,353","8,775,024,354","52,708,761,901","102,096","4,858,537","1,582,911","180,424","6,621,872","38,980,738,512","11,927,101,135","1,098,742,003","52,006,581,649"
Avivasa Emeklilik ve Hayat,"4,326,570","72,567,207,791","8,211,936,974","55,668,441,294","78,335","4,920,266","334,696","234,411","5,489,373","47,851,909,819","4,901,274,085","1,956,711,615","54,709,895,520"
Axa Hayat ve Emeklilik,"178,883","1,707,744,417","285,532,272","1,422,105,140",247,"215,383","6,094","2,291","223,768","1,336,151,759","52,870,356","14,251,678","1,403,273,793"
Bereket Emeklilik ve Hayat,"520,799","1,723,180,360","338,265,040","1,281,655,411",135,"152,967","253,743","138,508","545,218","541,272,421","689,218,629","42,351,072","1,272,842,122"
BNP Paribas Cardif Emeklilik,"937,836","9,680,898,301","1,191,806,893","7,659,348,988","10,661","785,998","225,442","124,792","1,136,232","5,851,504,221","1,374,317,925","340,176,979","7,565,999,125"
Cigna Finans Emeklilik ve Hayat,"487,738","3,054,295,532","532,531,557","2,701,972,200",535,"434,218","80,510","8,514","523,242","2,210,358,876","416,696,704","11,874,187","2,638,929,768"
Fiba Emeklilik ve Hayat,"480,602","6,976,398,054","673,139,604","5,372,045,566","2,875","439,135","98,081","29,219","566,435","4,023,368,431","1,056,378,974","253,843,581","5,333,590,985"
Garanti Emeklilik ve Hayat,"5,953,525","53,508,225,304","7,079,805,332","42,282,830,421","56,834","5,109,935","810,203","413,194","6,333,332","31,786,025,478","8,298,250,132","1,315,550,481","41,399,826,090"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,656,133","15,199,468,117","2,401,082,931","13,296,649,294","1,376","1,597,550","1,141,320","289,120","3,027,990","6,123,124,763","6,222,758,751","822,610,413","13,168,493,927"
Kat?l?m Emeklilik ve Hayat,"1,082,171","5,363,902,021","1,044,944,168","4,555,780,850",297,"961,204","246,495","264,051","1,471,750","3,246,443,383","878,439,016","311,072,947","4,435,955,347"
Metlife Emeklilik ve Hayat,"953,982","6,678,956,847","1,065,120,753","5,948,008,242","1,821","792,094","172,699","85,249","1,050,042","4,183,222,496","1,014,453,399","652,455,681","5,850,131,576"
NN Hayat ve Emeklilik,"1,314,159","13,283,830,816","1,626,455,115","10,233,253,219","21,428","1,324,420","159,154","51,148","1,534,722","8,695,409,659","1,229,654,316","153,879,603","10,078,943,578"
Vak?f Emeklilik ve Hayat,"2,611,762","29,415,626,121","3,419,173,835","21,980,462,367","35,657","3,267,999","374,613","154,966","3,797,578","16,556,359,276","4,470,187,344","748,261,137","21,774,807,757"
Ziraat Hayat ve Emeklilik,"3,129,715","16,551,804,877","2,804,962,565","14,382,630,793","5,056","2,138,206","1,128,329","268,088","3,534,623","8,484,510,503","4,303,795,135","1,367,444,986","14,155,750,624"
Grand Total,"34,862,676","368,010,666,704","45,490,161,516","286,138,340,062","400,832","30,794,023","7,403,233","3,076,846","41,274,102","213,146,334,369","55,948,210,493","12,689,979,222","281,784,524,083"
