Aegon Emeklilik ve Hayat,"193,815","650,457,493","76,309,161","448,572,768","3,174","151,099","65,800","4,130","221,029","339,446,478","91,258,452","8,042,343","438,747,273"
Allianz Hayat ve Emeklilik,"498,428","12,613,604,847","1,626,993,117","8,873,153,774","18,585","483,092","75,624","20,826","579,542","7,290,386,724","1,253,805,737","244,307,352","8,788,499,813"
Allianz Ya?am ve Emeklilik,"3,712,027","53,736,360,096","6,089,728,171","38,205,128,028","55,094","3,041,658","601,172","795,171","4,438,001","26,106,622,462","7,771,388,965","3,742,919,956","37,620,931,384"
Anadolu Hayat Emeklilik,"5,563,198","72,509,293,272","11,648,740,934","54,154,781,949","114,035","4,787,470","1,535,816","176,450","6,499,736","40,281,384,864","12,092,569,515","1,104,260,500","53,478,214,879"
Avivasa Emeklilik ve Hayat,"4,143,177","75,985,330,621","10,561,566,835","56,195,319,346","89,345","4,701,624","321,845","227,679","5,251,148","48,303,361,696","4,865,375,766","1,997,793,031","55,166,530,494"
Axa Hayat ve Emeklilik,"177,065","1,857,878,543","368,962,473","1,467,111,987",293,"217,976","5,808","2,211","225,995","1,378,768,567","53,715,389","15,254,919","1,447,738,875"
Bereket Emeklilik ve Hayat,"500,215","1,703,606,218","337,824,926","1,246,971,030",164,"145,464","241,579","137,624","524,667","525,289,046","671,233,447","42,224,855","1,238,747,349"
BNP Paribas Cardif Emeklilik,"919,543","10,292,234,426","1,520,197,399","7,664,705,292","11,724","780,810","211,338","119,087","1,111,235","5,864,057,597","1,373,373,670","328,819,613","7,566,250,879"
Cigna Finans Emeklilik ve Hayat,"453,022","3,313,024,834","640,127,537","2,588,621,194",594,"405,340","72,062","7,977","485,379","2,127,983,545","388,695,675","10,136,215","2,526,815,436"
Fiba Emeklilik ve Hayat,"470,044","7,504,161,271","888,795,376","5,523,399,738","4,989","432,732","94,652","27,978","555,362","4,173,702,009","1,056,944,687","257,473,528","5,488,120,224"
Garanti Emeklilik ve Hayat,"5,718,998","56,822,650,076","9,086,999,511","42,473,681,333","65,780","4,924,715","751,013","402,803","6,078,531","31,909,884,989","8,281,739,025","1,374,477,474","41,566,101,487"
Groupama Emeklilik,0,0,0,0,"14,870",0,0,0,0,0,0,0,0
Halk Hayat ve Emeklilik,"2,684,835","17,108,335,131","3,210,237,756","14,115,100,341","1,567","1,681,568","1,103,244","281,369","3,066,181","6,702,479,279","6,400,621,618","867,625,758","13,970,726,654"
Kat?l?m Emeklilik ve Hayat,"1,186,991","6,039,800,450","1,236,900,655","5,069,724,863",388,"1,112,777","265,051","289,573","1,667,401","3,644,197,960","946,031,470","333,115,283","4,923,344,713"
Metlife Emeklilik ve Hayat,"936,193","7,354,973,828","1,305,748,672","5,972,808,966","2,147","781,882","164,059","84,657","1,030,598","4,194,490,609","1,003,510,880","665,255,692","5,863,257,181"
NN Hayat ve Emeklilik,"1,292,067","14,172,377,754","2,146,258,878","10,542,917,208","23,943","1,312,354","149,497","49,993","1,511,844","8,998,241,788","1,227,714,588","154,777,979","10,380,734,356"
Vak?f Emeklilik ve Hayat,"2,668,394","31,492,382,699","4,517,417,256","22,825,591,621","40,045","3,280,476","377,997","200,040","3,858,513","17,265,822,350","4,521,564,594","821,527,499","22,608,914,444"
Ziraat Hayat ve Emeklilik,"3,171,743","19,051,945,329","3,725,176,683","15,547,602,476","5,974","2,169,720","1,136,626","267,263","3,573,609","9,095,466,232","4,633,751,426","1,533,810,438","15,263,028,097"
Grand Total,"34,289,755","392,208,416,888","58,987,985,341","292,915,191,915","452,711","30,410,757","7,173,183","3,094,831","40,678,771","218,201,586,196","56,633,294,906","13,501,822,436","288,336,703,538"
