Aegon Emeklilik ve Hayat;189.303;632.152.279;72.694.536;415.612.999;3.622;147.751;63.987;3.584;215.322;315.422.074;86.646.444;4.593.763;406.662.280
Allianz Hayat ve Emeklilik;478.391;13.656.471.496;1.761.750.942;9.233.857.231;20.387;465.232;72.215;20.520;557.967;7.638.893.951;1.252.522.744;254.269.218;9.145.685.913
Allianz Yaşam ve Emeklilik;3.658.221;59.069.386.256;6.541.485.291;40.127.989.064;61.570;3.020.683;578.842;779.973;4.379.498;27.340.525.753;8.003.596.401;4.163.190.147;39.507.312.300
Anadolu Hayat Emeklilik;5.484.929;79.246.257.060;12.685.968.438;56.888.826.300;128.205;4.754.481;1.508.463;177.365;6.440.309;42.367.867.490;12.491.177.902;1.207.734.266;56.066.779.659
Avivasa Emeklilik ve Hayat;3.976.877;82.202.079.922;11.328.004.243;57.870.955.099;100.502;4.513.953;307.873;230.778;5.052.604;49.740.821.446;4.946.448.918;2.104.130.170;56.791.400.533
Axa Hayat ve Emeklilik;170.969;2.051.164.397;397.275.564;1.532.678.448;361;208.954;5.536;2.243;216.733;1.436.138.593;58.153.472;17.479.973;1.511.772.038
Bereket Emeklilik ve Hayat;474.117;1.762.935.513;339.373.511;1.201.174.131;187;136.546;225.937;135.714;498.197;506.376.823;644.871.463;42.400.745;1.193.649.030
BNP Paribas Cardif Emeklilik;911.009;11.008.848.971;1.608.951.118;7.859.988.362;13.101;783.900;202.075;113.844;1.099.819;5.993.451.064;1.420.850.722;332.569.824;7.746.871.610
Cigna Finans Emeklilik ve Hayat;424.758;3.368.022.302;648.504.759;2.539.013.772;1.073;381.330;66.076;7.440;454.846;2.091.109.257;379.049.109;8.636.477;2.478.794.843
Fiba Emeklilik ve Hayat;459.461;7.924.910.928;964.347.997;5.576.520.825;7.740;423.776;92.660;27.910;544.346;4.207.505.579;1.061.738.351;274.600.194;5.543.844.124
Garanti Emeklilik ve Hayat;5.572.458;61.665.921.932;9.691.946.771;43.990.919.437;74.993;4.787.498;741.865;399.169;5.928.532;33.075.854.484;8.459.979.446;1.451.847.378;42.987.681.307
Groupama Hayat;0;0;0;0;14.870;0;0;0;0;0;0;0;0
Halk Hayat ve Emeklilik;2.793.330;19.496.092.899;3.636.456.677;15.373.397.185;1.813;1.817.850;1.094.409;277.906;3.190.165;7.475.643.951;6.812.296.273;926.032.934;15.213.973.159
Katılım Emeklilik ve Hayat;1.249.879;7.063.546.037;1.446.993.267;5.718.247.541;534;1.182.816;282.677;315.335;1.780.828;4.088.246.630;1.043.129.199;396.993.610;5.528.369.439
Metlife Emeklilik ve Hayat;919.995;7.746.611.906;1.379.019.927;6.094.530.216;2.531;774.331;156.668;83.820;1.014.819;4.237.321.395;1.023.185.767;696.953.059;5.957.460.222
NN Hayat ve Emeklilik;1.276.803;15.446.531.513;2.318.101.342;11.021.164.146;27.676;1.308.646;141.830;51.139;1.501.615;9.454.637.921;1.230.722.528;159.272.529;10.844.632.978
Vakıf Emeklilik ve Hayat;2.724.412;35.071.703.615;5.009.343.583;24.125.569.737;46.101;3.332.161;371.353;206.174;3.909.688;18.352.173.559;4.600.169.443;940.797.064;23.893.140.066
Ziraat Hayat ve Emeklilik;3.273.826;21.553.665.623;4.187.216.794;16.935.728.089;6.788;2.236.499;1.180.059;267.398;3.683.956;9.783.209.111;5.088.769.614;1.694.463.127;16.566.441.853
