ALFA ROMEO,,18,18,,,0,0,18,18
ASTON MARTIN,,2,2,,,0,0,2,2
AUDI,,"1,370","1,370",,,0,0,"1,370","1,370"
BENTLEY,,0,0,,,0,0,0,0
BMW,,"1,904","1,904",,,0,0,"1,904","1,904"
CHERY,,,0,,,0,0,0,0
CITROEN,,"1,339","1,339",0,479,479,0,"1,818","1,818"
DACIA,,"3,933","3,933",,642,642,0,"4,575","4,575"
DS,,38,38,,,0,0,38,38
FERRARI,,0,0,,,0,0,0,0
FIAT,"5,547",117,"5,664","4,562",526,"5,088","10,109",643,"10,752"
FORD,526,"3,067","3,593","5,924",228,"6,152","6,450","3,295","9,745"
GEELY,,,0,,,0,0,0,0
HONDA,"1,214",583,"1,797",,,0,"1,214",583,"1,797"
HYUNDAI,"1,509","1,871","3,380",,224,224,"1,509","2,095","3,604"
INFINITI,,5,5,,,0,0,5,5
ISUZU,,,0,166,17,183,166,17,183
IVECO,,,0,,171,171,0,171,171
JAGUAR,,39,39,,,0,0,39,39
JEEP,,198,198,,,0,0,198,198
KARSAN,,,0,135,,135,135,0,135
KIA,,"1,065","1,065",,358,358,0,"1,423","1,423"
LAMBORGHINI,,1,1,,,0,0,1,1
LAND ROVER,,126,126,,,0,0,126,126
LEXUS,,3,3,,,0,0,3,3
MASERATI,,9,9,,,0,0,9,9
MAZDA,,117,117,,,0,0,117,117
MERCEDES-BENZ,,"2,300","2,300",,814,814,0,"3,114","3,114"
MINI,,93,93,,,0,0,93,93
MITSUBISHI,,19,19,0,281,281,0,300,300
NISSAN,,"2,460","2,460",,195,195,0,"2,655","2,655"
OPEL,,"4,365","4,365",,,0,0,"4,365","4,365"
OTOKAR,,,0,,,0,0,0,0
PEUGEOT,,"2,030","2,030",0,885,885,0,"2,915","2,915"
PORSCHE,,82,82,,,0,0,82,82
RENAULT,"6,468","3,673","10,141",,"1,499","1,499","6,468","5,172","11,640"
SEAT,,"1,789","1,789",,,0,0,"1,789","1,789"
SKODA,,"2,133","2,133",,,0,0,"2,133","2,133"
SMART,,10,10,,,0,0,10,10
SSANGYONG,,32,32,,56,56,0,88,88
SUBARU,,103,103,,,0,0,103,103
SUZUKI,,446,446,,,0,0,446,446
TOYOTA,"3,647",852,"4,499",,375,375,"3,647","1,227","4,874"
VOLKSWAGEN,,"7,006","7,006",,"2,376","2,376",0,"9,382","9,382"
VOLVO,,275,275,,,0,0,275,275
