Year,City,Female,Male,Common,Other,Total
2018,Turkiye,421286,790006,26877,137229,1375398
2018,Adana,9470,17400,292,3476,30638
2018,Adiyaman,1774,5067,39,405,7285
2018,Afyonkarahisar,3162,5524,566,731,9983
2018,Agri,441,1889,10,85,2425
2018,Aksaray,2301,4420,176,156,7053
2018,Amasya,1735,3483,85,247,5550
2018,Ankara,41421,75876,3187,10677,131161
2018,Antalya,17720,30423,944,13853,62940
2018,Ardahan,30,150,0,6,186
2018,Artvin,504,1209,20,50,1783
2018,Aydin,11719,17605,851,3288,33463
2018,Balikesir,11487,14927,868,1635,28917
2018,Bartin,1070,2180,114,97,3461
2018,Batman,1033,3202,27,216,4478
2018,Bayburt,136,391,8,8,543
2018,Bilecik,1101,2308,50,424,3883
2018,Bingol,792,2392,36,120,3340
2018,Bitlis,365,1443,6,24,1838
2018,Bolu,2350,4026,254,618,7248
2018,Burdur,1350,2102,98,691,4241
2018,Bursa,15760,27683,875,7044,51362
2018,Canakkale,5099,7185,226,1215,13725
2018,Cankiri,813,2053,56,104,3026
2018,Corum,2435,5335,139,229,8138
2018,Denizli,5719,9371,357,2660,18107
2018,Diyarbakir,5996,10915,99,739,17749
2018,Duzce,2634,4807,100,619,8160
2018,Edirne,2302,3451,135,369,6257
2018,Elazig,2961,6688,112,621,10382
2018,Erzincan,846,1766,44,30,2686
2018,Erzurum,2256,6239,92,316,8903
2018,Eskisehir,7401,12803,593,1657,22454
2018,Gaziantep,8354,18432,197,2257,29240
2018,Giresun,2329,3982,128,260,6699
2018,Gumushane,405,991,23,41,1460
2018,Hakkari,46,112,0,1,159
2018,Hatay,6767,13982,299,1787,22835
2018,Igdir,412,955,19,30,1416
2018,Isparta,1897,3177,163,1141,6378
2018,Istanbul,65166,128221,5726,34942,234055
2018,Izmir,27192,40226,1911,6343,75672
2018,Kahramanmaras,5127,11062,176,416,16781
2018,Karabuk,1279,2736,91,387,4493
2018,Karaman,1073,2034,107,118,3332
2018,Kars,526,1969,16,51,2562
2018,Kastamonu,2109,4487,151,729,7476
2018,Kayseri,8669,16276,541,3555,29041
2018,Kirikkale,1607,4087,59,541,6294
2018,Kirklareli,2923,5107,183,400,8613
2018,Kirsehir,1335,2864,82,194,4475
2018,Kilis,857,1464,34,13,2368
2018,Kocaeli,9744,21851,496,3692,35783
2018,Konya,12398,22336,925,1539,37198
2018,Kutahya,2878,5225,186,717,9006
2018,Malatya,3512,6982,166,664,11324
2018,Manisa,7955,15390,510,1091,24946
2018,Mardin,2338,5933,33,299,8603
2018,Mersin,11941,20582,396,4270,37189
2018,Mugla,6769,9074,502,2288,18633
2018,Mus,406,1631,3,23,2063
2018,Nevsehir,1072,1776,59,88,2995
2018,Nigde,2209,3920,135,398,6662
2018,Ordu,3299,6656,119,381,10455
2018,Osmaniye,2027,4274,40,301,6642
2018,Rize,1085,2088,59,272,3504
2018,Sakarya,7604,12467,346,2674,23091
2018,Samsun,7906,14762,400,2128,25196
2018,Siirt,575,2015,19,39,2648
2018,Sinop,1273,2170,95,115,3653
2018,Sivas,2983,7136,208,338,10665
2018,Sanliurfa,5066,15013,80,537,20696
2018,Sirnak,205,818,0,184,1207
2018,Tekirdag,9279,19106,517,1984,30886
2018,Tokat,1706,3794,105,214,5819
2018,Trabzon,3622,6607,175,2423,12827
2018,Tunceli,425,701,54,17,1197
2018,Usak,2258,3987,181,255,6681
2018,Van,1564,4551,25,1356,7496
2018,Yalova,3361,5006,423,2871,11661
2018,Yozgat,1400,3559,92,237,5288
2018,Zonguldak,2170,4119,163,218,6670
2017,Turkiye,409453,837928,29178,132755,1409314
2017,Adana,9023,17242,291,4795,31351
2017,Adiyaman,1393,4568,40,418,6419
