Year,Country,January,February,March,April,May,June,July,August,September,October,November,December
2019,Iraq,605,628,548,533,594,429,734,675,781,597,0,0
2019,Iran,305,307,334,332,509,415,464,469,489,536,0,0
2019,Russia,195,236,156,202,285,190,215,212,248,292,0,0
2019,Saudi Arabia,108,143,189,395,157,102,218,146,214,168,0,0
2019,Afghanistan,191,166,150,189,183,108,163,146,182,185,0,0
2019,Kuwait,130,150,123,202,152,113,219,159,191,182,0,0
2019,Germany,119,122,101,122,155,126,158,149,145,225,0,0
2019,Jordan,151,125,101,149,144,98,139,105,151,121,0,0
2019,Yemen,97,143,121,148,155,61,140,96,121,132,0,0
2019,United Kingdom,76,70,74,94,149,113,124,109,139,166,0,0
2019,Azerbaijan,95,105,87,87,90,67,92,88,118,125,0,0
2019,Palestine,103,66,128,120,104,46,109,67,92,100,0,0
2019,Libya,69,69,68,85,83,60,106,87,103,118,0,0
2019,Egypt,83,82,59,88,99,34,107,72,73,83,0,0
2019,Sweden,52,51,38,42,55,53,96,119,69,71,0,0
2019,Qatar,73,65,51,79,64,37,46,53,70,53,0,0
2019,Kazakhstan,30,45,37,73,71,60,58,59,68,80,0,0
2019,Ukraine,50,52,47,50,80,38,60,56,55,71,0,0
2019,Egypt,45,61,62,49,57,43,69,39,62,56,0,0
2019,United States of America,38,45,39,57,68,39,64,59,59,57,0,0
2019,Other countries,585,626,647,672,713,485,860,676,787,893,0,0
2018,Iraq,272,308,348,337,407,315,584,944,1351,1439,1003,897
2018,Iran,83,122,156,138,217,228,321,394,538,557,463,435
2018,Saudi Arabia,160,178,181,252,206,110,211,275,312,332,233,268
2018,Russia,121,128,120,112,165,169,173,192,263,336,261,257
2018,Kuwait,108,99,79,116,114,90,171,271,360,378,218,195
2018,Afghanistan,124,118,108,99,131,139,143,183,227,319,261,232
2018,Germany,89,53,78,97,123,102,109,177,299,341,203,195
2018,Jordan,84,46,52,62,65,64,111,124,199,242,143,170
2018,Azerbaijan,65,63,61,68,75,82,73,96,180,177,144,166
2018,United Kingdom,55,48,52,57,112,88,94,97,193,217,128,96
2018,Yemen,50,30,32,39,52,60,63,66,95,113,105,146
2018,Qatar,40,28,41,37,50,35,40,84,136,107,85,81
2018,Egypt,62,45,41,44,38,38,70,90,67,75,69,86
2018,Sweden,38,29,34,35,48,42,54,65,115,102,85,76
2018,Palestine,32,21,23,29,44,29,43,58,73,93,115,95
2018,Ukraine,22,32,51,54,56,44,51,50,54,88,60,62
2018,Kazakhstan,40,28,28,29,28,35,38,57,79,73,60,47
2018,United States of America,10,15,22,22,26,13,29,40,58,86,70,77
2018,Netherlands,9,43,24,31,41,28,25,53,44,81,43,45
2018,Lebanon,8,11,12,16,25,22,23,38,67,92,77,65
2018,Other countries,288,313,306,385,410,352,459,540,952,1079,892,923
2017,Iraq,279,282,323,245,277,239,293,317,383,344,405,418
2017,Saudi Arabia,144,143,148,185,285,612,248,198,344,528,239,271
2017,Kuwait,115,114,139,169,125,136,142,135,160,154,151,151
2017,Russia,60,77,115,99,134,115,118,95,129,125,135,129
2017,Afghanistan,107,81,112,81,70,73,71,81,75,120,105,102
2017,Azerbaijan,54,55,50,65,63,46,61,45,72,278,62,91
2017,United Kingdom,40,37,39,55,65,87,76,78,103,94,68,52
2017,Iran,42,42,54,33,68,62,74,49,84,85,81,118
2017,Germany,43,35,31,74,54,64,41,66,77,106,88,93
2017,Egypt,45,46,39,38,52,31,46,61,49,34,79,67
2017,Ukraine,41,35,35,31,48,42,36,37,41,60,58,41
2017,Jordan,33,24,36,38,32,17,32,52,41,75,59,44
2017,Sweden,24,14,20,36,48,33,40,30,46,43,38,34
2017,United Arab Emirates,23,11,47,36,37,13,26,35,51,66,24,32
2017,Yemen,12,18,40,32,40,29,21,25,50,27,49,47
2017,Palestine,27,21,49,19,20,17,28,23,24,40,38,31
2017,Kazakhstan,19,16,28,25,17,35,32,18,63,20,31,30
2017,Qatar,18,19,14,13,21,9,22,31,33,47,41,37
2017,Norway,9,9,26,21,25,24,24,26,38,24,27,20
2017,Belgium,10,8,24,22,15,23,29,22,15,23,14,14
2017,Other countries,253,231,231,317,299,234,288,275,371,401,379,359
2016,Iraq,308,365,244,276,193,214,153,267,230,257,285,244
2016,Saudi Arabia,136,158,151,165,160,112,92,173,140,159,236,204
2016,Kuwait,134,159,136,172,182,110,111,155,85,135,212,153
2016,Russia,106,88,96,96,121,114,64,117,99,132,107,84
2016,Afghanistan,104,141,148,115,125,107,53,75,64,88,91,94
2016,United Kingdom,49,45,62,65,85,102,71,58,84,94,63,49
2016,Germany,49,50,74,50,67,96,25,52,61,63,77,50
2016,Iran,45,52,53,66,53,55,49,50,42,72,82,45
