Year;Month;Province;Mortgaged_FirstHand_Sale;Mortgaged_SecondHand_Sale;Other_FirstHand_Sale;Other_SecondHand_Sale
2013;January;Adana-1;301;473;290;484
2013;January;Adiyaman-2;33;83;76;69
2013;January;Afyonkarahisar-3;77;46;98;254
2013;January;Agri-4;12;2;59;32
2013;January;Aksaray-68;66;61;92;110
2013;January;Amasya-5;43;68;71;63
2013;January;Ankara-6;2006;3317;2272;3620
2013;January;Antalya-7;718;1049;1383;1706
2013;January;Ardahan-75;2;0;3;0
2013;January;Artvin-8;21;17;28;33
2013;January;Aydin-9;231;384;420;684
2013;January;Balikesir-10;297;300;342;493
2013;January;Bartin-74;29;29;33;19
2013;January;Batman-72;48;11;63;32
2013;January;Bayburt-69;4;0;1;6
2013;January;Bilecik-11;57;48;92;55
2013;January;Bingol-12;1;0;4;7
2013;January;Bitlis-13;19;8;25;16
2013;January;Bolu-14;82;59;87;63
2013;January;Burdur-15;21;26;27;34
2013;January;Bursa-16;671;732;897;937
2013;January;Canakkale-17;124;131;230;229
2013;January;Cankiri-18;28;37;27;43
2013;January;Corum-19;124;148;195;201
2013;January;Denizli-20;225;314;213;270
2013;January;Diyarbakir-21;275;153;280;286
2013;January;Duzce-81;58;53;72;81
2013;January;Edirne-22;107;79;171;130
2013;January;Elazig-23;76;94;233;207
2013;January;Erzincan-24;47;31;44;24
2013;January;Erzurum-25;56;75;166;207
2013;January;Eskisehir-26;336;284;652;353
2013;January;Gaziantep-27;207;297;551;494
2013;January;Giresun-28;80;72;131;94
2013;January;Gumushane-29;7;4;22;8
2013;January;Hakkari-30;0;0;2;1
2013;January;Hatay-31;225;217;328;305
2013;January;Igdir-76;16;6;28;17
2013;January;Isparta-32;31;64;85;98
2013;January;Istanbul-34;4066;4357;4232;5580
2013;January;Izmir-35;920;1558;1269;1843
2013;January;Kahramanmaras-46;142;127;170;182
2013;January;Karabuk-78;46;33;32;40
2013;January;Karaman-70;31;46;47;48
2013;January;Kars-36;15;11;25;29
2013;January;Kastamonu-37;61;57;114;79
2013;January;Kayseri-38;191;567;620;724
2013;January;Kilis-79;10;13;36;24
2013;January;Kirikkale-71;52;82;138;104
2013;January;Kirklareli-39;90;91;84;105
2013;January;Kirsehir-40;47;72;108;90
2013;January;Kocaeli-41;465;528;603;848
2013;January;Konya-42;298;446;522;643
2013;January;Kutahya-43;70;92;292;164
2013;January;Malatya-44;138;143;226;236
2013;January;Manisa-45;230;360;296;329
2013;January;Mardin-47;48;22;154;60
2013;January;Mersin-33;418;653;484;795
2013;January;Mugla-48;161;228;228;432
2013;January;Mus-49;1;13;13;17
2013;January;Nevsehir-50;8;46;47;213
2013;January;Nigde-51;45;56;102;146
2013;January;Ordu-52;115;118;315;192
2013;January;Osmaniye-80;100;63;126;89
2013;January;Rize-53;46;52;72;73
2013;January;Sakarya-54;200;185;338;477
2013;January;Samsun-55;322;301;503;374
2013;January;Sanliurfa-63;85;171;364;276
2013;January;Siirt-56;21;8;40;23
2013;January;Sinop-57;33;34;28;53
2013;January;Sirnak-73;7;0;36;11
2013;January;Sivas-58;57;92;109;117
2013;January;Tekirdag-59;472;428;630;658
2013;January;Tokat-60;88;78;44;98
2013;January;Trabzon-61;96;167;305;247
2013;January;Tunceli-62;15;5;21;20
2013;January;Usak-64;30;45;37;43
2013;January;Van-65;21;20;66;52
2013;January;Yalova-77;80;85;137;436
2013;January;Yozgat-66;32;59;49;78
2013;January;Zonguldak-67;65;98;109;86
2013;February;Adana-1;286;480;405;496
2013;February;Adiyaman-2;40;68;157;156
2013;February;Afyonkarahisar-3;83;60;80;283
2013;February;Agri-4;17;3;164;14
2013;February;Aksaray-68;50;57;63;99
2013;February;Amasya-5;78;65;96;51
2013;February;Ankara-6;1951;3462;2341;3527
2013;February;Antalya-7;661;1084;1235;1649
2013;February;Ardahan-75;1;0;2;0
2013;February;Artvin-8;20;26;30;39
2013;February;Aydin-9;256;380;380;662
2013;February;Balikesir-10;274;310;419;511
2013;February;Bartin-74;33;31;26;18
2013;February;Batman-72;46;17;86;42
2013;February;Bayburt-69;2;0;11;4
2013;February;Bilecik-11;47;53;76;34
2013;February;Bingol-12;4;1;7;9
2013;February;Bitlis-13;12;5;40;11
2013;February;Bolu-14;95;53;103;62
2013;February;Burdur-15;21;21;41;43
2013;February;Bursa-16;653;705;894;859
2013;February;Canakkale-17;145;123;223;164
2013;February;Cankiri-18;7;48;20;45
2013;February;Corum-19;109;159;129;174
2013;February;Denizli-20;216;281;221;255
2013;February;Diyarbakir-21;251;194;323;327
2013;February;Duzce-81;49;45;71;81
2013;February;Edirne-22;89;104;158;117
2013;February;Elazig-23;115;133;191;203
2013;February;Erzincan-24;23;39;30;26
2013;February;Erzurum-25;55;78;70;206
2013;February;Eskisehir-26;350;310;538;344
2013;February;Gaziantep-27;296;286;466;467
2013;February;Giresun-28;49;64;121;127
2013;February;Gumushane-29;2;10;11;10
2013;February;Hakkari-30;0;0;1;4
2013;February;Hatay-31;224;224;350;367
2013;February;Igdir-76;11;5;13;14
2013;February;Isparta-32;25;52;98;92
2013;February;Istanbul-34;4195;4641;4082;6053
2013;February;Izmir-35;992;1646;1233;1789
2013;February;Kahramanmaras-46;126;118;183;196
2013;February;Karabuk-78;39;43;41;50
2013;February;Karaman-70;33;39;44;39
2013;February;Kars-36;11;11;16;20
2013;February;Kastamonu-37;111;42;113;105
2013;February;Kayseri-38;203;512;548;742
2013;February;Kilis-79;22;11;38;33
2013;February;Kirikkale-71;41;98;70;197
2013;February;Kirklareli-39;85;94;81;158
2013;February;Kirsehir-40;42;82;116;66
2013;February;Kocaeli-41;479;563;453;628
2013;February;Konya-42;288;407;1440;584
2013;February;Kutahya-43;51;76;208;119
2013;February;Malatya-44;148;159;241;225
2013;February;Manisa-45;202;371;333;358
2013;February;Mardin-47;47;20;235;112
2013;February;Mersin-33;407;596;630;895
2013;February;Mugla-48;141;261;279;482
2013;February;Mus-49;1;9;4;25
2013;February;Nevsehir-50;18;47;39;117
2013;February;Nigde-51;45;67;106;143
2013;February;Ordu-52;132;114;232;185
2013;February;Osmaniye-80;76;65;91;78
2013;February;Rize-53;50;37;78;79
2013;February;Sakarya-54;215;217;346;426
2013;February;Samsun-55;277;298;451;393
2013;February;Sanliurfa-63;94;168;360;267
2013;February;Siirt-56;18;13;61;28
2013;February;Sinop-57;30;37;51;63
2013;February;Sirnak-73;9;0;24;6
2013;February;Sivas-58;53;89;87;124
2013;February;Tekirdag-59;406;446;561;635
2013;February;Tokat-60;81;76;84;86
2013;February;Trabzon-61;101;140;286;245
2013;February;Tunceli-62;12;5;15;11
2013;February;Usak-64;40;48;35;45
2013;February;Van-65;30;17;77;72
2013;February;Yalova-77;62;80;112;377
2013;February;Yozgat-66;25;64;56;76
2013;February;Zonguldak-67;100;103;107;108
2013;March;Adana-1;318;543;387;578
2013;March;Adiyaman-2;32;82;98;98
2013;March;Afyonkarahisar-3;77;73;126;287
2013;March;Agri-4;12;8;52;22
2013;March;Aksaray-68;57;67;109;68
2013;March;Amasya-5;62;73;109;72
2013;March;Ankara-6;2066;3962;2280;3983
2013;March;Antalya-7;869;1311;1505;1809
2013;March;Ardahan-75;1;3;5;1
2013;March;Artvin-8;21;22;25;39
2013;March;Aydin-9;240;477;751;773
2013;March;Balikesir-10;327;339;424;645
2013;March;Bartin-74;39;24;35;35
2013;March;Batman-72;38;20;56;51
2013;March;Bayburt-69;4;2;3;0
2013;March;Bilecik-11;48;53;149;49
2013;March;Bingol-12;1;2;5;16
2013;March;Bitlis-13;15;12;44;24
2013;March;Bolu-14;108;67;115;80
2013;March;Burdur-15;23;26;62;33
2013;March;Bursa-16;791;862;840;921
2013;March;Canakkale-17;109;135;308;210
2013;March;Cankiri-18;22;30;34;37
2013;March;Corum-19;124;203;157;224
2013;March;Denizli-20;218;291;226;274
2013;March;Diyarbakir-21;287;246;424;321
2013;March;Duzce-81;55;43;58;95
2013;March;Edirne-22;99;140;274;135
2013;March;Elazig-23;88;141;182;201
2013;March;Erzincan-24;26;29;47;43
2013;March;Erzurum-25;49;93;69;189
2013;March;Eskisehir-26;303;308;719;378
2013;March;Gaziantep-27;371;387;481;495
2013;March;Giresun-28;68;84;102;120
2013;March;Gumushane-29;2;13;12;10
2013;March;Hakkari-30;0;0;0;1
2013;March;Hatay-31;223;254;413;357
2013;March;Igdir-76;10;6;17;29
2013;March;Isparta-32;38;85;80;112
2013;March;Istanbul-34;4742;5422;4800;6606
2013;March;Izmir-35;1126;1864;1335;2026
2013;March;Kahramanmaras-46;144;129;199;195
2013;March;Karabuk-78;42;61;49;77
2013;March;Karaman-70;31;58;51;57
2013;March;Kars-36;17;19;16;23
2013;March;Kastamonu-37;66;55;104;88
2013;March;Kayseri-38;207;540;595;745
2013;March;Kilis-79;11;19;48;32
2013;March;Kirikkale-71;60;105;531;134
2013;March;Kirklareli-39;87;70;133;120
2013;March;Kirsehir-40;33;54;58;70
2013;March;Kocaeli-41;505;631;608;677
2013;March;Konya-42;281;470;616;705
2013;March;Kutahya-43;59;98;218;153
2013;March;Malatya-44;175;181;247;276
2013;March;Manisa-45;264;416;269;392
2013;March;Mardin-47;33;37;117;57
2013;March;Mersin-33;447;699;626;957
2013;March;Mugla-48;163;307;315;512
2013;March;Mus-49;0;5;6;16
2013;March;Nevsehir-50;17;49;39;179
2013;March;Nigde-51;46;62;131;139
2013;March;Ordu-52;139;116;245;214
2013;March;Osmaniye-80;92;72;136;71
2013;March;Rize-53;59;53;79;71
2013;March;Sakarya-54;170;235;384;492
2013;March;Samsun-55;307;317;414;387
2013;March;Sanliurfa-63;101;173;409;262
2013;March;Siirt-56;11;15;37;37
2013;March;Sinop-57;31;33;60;85
2013;March;Sirnak-73;3;5;8;1
2013;March;Sivas-58;59;97;92;117
2013;March;Tekirdag-59;463;527;557;834
2013;March;Tokat-60;97;98;97;103
2013;March;Trabzon-61;114;149;364;238
2013;March;Tunceli-62;8;8;25;14
2013;March;Usak-64;29;53;67;52
2013;March;Van-65;40;29;179;58
2013;March;Yalova-77;63;95;147;449
2013;March;Yozgat-66;19;67;54;111
2013;March;Zonguldak-67;80;118;122;130
2013;April;Adana-1;335;526;411;603
2013;April;Adiyaman-2;46;65;69;101
2013;April;Afyonkarahisar-3;78;60;106;214
2013;April;Agri-4;14;14;22;114
2013;April;Aksaray-68;62;63;108;82
2013;April;Amasya-5;67;70;86;79
2013;April;Ankara-6;1879;3830;2497;3683
2013;April;Antalya-7;782;1168;1406;1707
2013;April;Ardahan-75;1;0;7;5
2013;April;Artvin-8;31;26;28;26
2013;April;Aydin-9;302;458;491;715
2013;April;Balikesir-10;271;341;576;693
2013;April;Bartin-74;33;37;41;36
2013;April;Batman-72;51;36;108;42
2013;April;Bayburt-69;1;1;4;1
2013;April;Bilecik-11;54;49;81;52
2013;April;Bingol-12;0;2;6;6
2013;April;Bitlis-13;15;10;21;15
2013;April;Bolu-14;121;80;99;84
2013;April;Burdur-15;23;43;54;44
2013;April;Bursa-16;751;938;886;922
2013;April;Canakkale-17;110;188;306;241
2013;April;Cankiri-18;13;42;42;40
2013;April;Corum-19;106;181;201;154
2013;April;Denizli-20;181;259;202;231
2013;April;Diyarbakir-21;303;235;351;313
2013;April;Duzce-81;65;59;58;74
2013;April;Edirne-22;106;125;157;165
2013;April;Elazig-23;78;179;360;284
2013;April;Erzincan-24;23;31;40;45
2013;April;Erzurum-25;43;91;102;160
2013;April;Eskisehir-26;313;298;663;384
2013;April;Gaziantep-27;326;402;414;508
